iter	Logloss
0	0.6859978897
1	0.6773934118
2	0.6695932719
3	0.662835753
4	0.6560926781
5	0.6502177683
6	0.6437591634
7	0.6373869343
8	0.6305296483
9	0.6249219362
10	0.6183530482
11	0.6123938901
12	0.6065146874
13	0.6014100113
14	0.5963721874
15	0.591065637
16	0.5863277826
17	0.5805454855
18	0.5759590939
19	0.5718904814
20	0.5665332378
21	0.5627331729
22	0.5577355381
23	0.5534344463
24	0.5491537284
25	0.5439887346
26	0.5397217391
27	0.5358540476
28	0.5320687731
29	0.5285055694
30	0.5239354549
31	0.5203512486
32	0.5166808938
33	0.5133654134
34	0.5098485845
35	0.5064952004
36	0.5024696673
37	0.4985319448
38	0.4953453753
39	0.4920965588
40	0.4888663199
41	0.485095583
42	0.4825873895
43	0.4798534695
44	0.4772205011
45	0.4738122086
46	0.4711493994
47	0.4685276685
48	0.4653481267
49	0.4624557749
50	0.4598050898
51	0.4573834536
52	0.4551531467
53	0.4518602996
54	0.4495222005
55	0.4469521175
56	0.4449242195
57	0.4422752479
58	0.4394011651
59	0.437162976
60	0.4345830858
61	0.4329669465
62	0.4310054284
63	0.4293014135
64	0.4272009135
65	0.4256323561
66	0.4234784531
67	0.4216445766
68	0.4198661556
69	0.4185165342
70	0.4164002264
71	0.4143662853
72	0.412678029
73	0.4114055082
74	0.4098276311
75	0.4088981801
76	0.4074172651
77	0.4051996961
78	0.403373545
79	0.4019194237
80	0.4005256786
81	0.3993232787
82	0.3972837116
83	0.3955480974
84	0.3940589336
85	0.3926382161
86	0.3899565169
87	0.3884745535
88	0.3873160148
89	0.3861379731
90	0.3850738841
91	0.3831024355
92	0.3814439018
93	0.3798447531
94	0.3787450073
95	0.3776631154
96	0.3767295237
97	0.3758228458
98	0.37432184
99	0.3733239089
100	0.3722648797
101	0.370957417
102	0.3698992281
103	0.3685737574
104	0.366971639
105	0.3658900404
106	0.3648881911
107	0.3634699707
108	0.3625549604
109	0.360921525
110	0.3592690828
111	0.3586517148
112	0.3573148033
113	0.3564934617
114	0.3555057433
115	0.3543098224
116	0.3536971951
117	0.3522080968
118	0.3512577987
119	0.3502489485
120	0.3493132862
121	0.3481502335
122	0.3465618017
123	0.3455511977
124	0.3449353758
125	0.3441633206
126	0.3436548215
127	0.3430017665
128	0.3418892933
129	0.3410430615
130	0.3400766312
131	0.3394505226
132	0.3384840808
133	0.337151594
134	0.3359842339
135	0.3349987798
136	0.3340587164
137	0.3336984564
138	0.3329762381
139	0.3318705023
140	0.3311288339
141	0.3303451848
142	0.3298205498
143	0.3291772965
144	0.3283304439
145	0.3274033865
146	0.3265713714
147	0.3259359803
148	0.324940806
149	0.3241325776
150	0.3235076941
151	0.3227827022
152	0.3221168499
153	0.3209958533
154	0.3204026451
155	0.319792835
156	0.3191269436
157	0.3184215704
158	0.3179243934
159	0.317237099
160	0.3167196293
161	0.3159103799
162	0.3151853095
163	0.3147583276
164	0.3143013139
165	0.3137277486
166	0.3131358124
167	0.3123543545
168	0.3116554108
169	0.3111762131
170	0.310549633
171	0.3096615467
172	0.3089690338
173	0.3082438374
174	0.3077886693
175	0.3071078147
176	0.3066620366
177	0.3059423157
178	0.3051056052
179	0.3044999583
180	0.3037631696
181	0.3028956283
182	0.3023981613
183	0.3021372466
184	0.3012929145
185	0.3006836387
186	0.3000632797
187	0.2996003254
188	0.2991239645
189	0.298764691
190	0.2980952251
191	0.2973416625
192	0.2968006536
193	0.2964332065
194	0.2957282459
195	0.2952910299
196	0.2949995623
197	0.294212887
198	0.2936787196
199	0.2932345193
200	0.292812363
201	0.2924099706
202	0.2919779926
203	0.2914556934
204	0.2909688874
205	0.2903405718
206	0.2898526789
